group	colour	yend	showSelected1
1	#66C2A5	-0.625921539855469	sous-entraînement
2	#66C2A5	-0.625921539855469	sous-entraînement
3	#FC8D62	-0.625921539855469	validation
4	#66C2A5	-0.625921539855469	sous-entraînement
5	#FC8D62	-0.625921539855469	validation
6	#66C2A5	-0.625921539855469	sous-entraînement
7	#FC8D62	-0.625921539855469	validation
8	#FC8D62	-0.625921539855469	validation
9	#FC8D62	-0.625921539855469	validation
10	#66C2A5	-0.625921539855469	sous-entraînement
11	#FC8D62	-0.625921539855469	validation
12	#66C2A5	0.2381091672141	sous-entraînement
13	#FC8D62	0.2381091672141	validation
14	#FC8D62	0.2381091672141	validation
15	#66C2A5	0.2381091672141	sous-entraînement
16	#66C2A5	0.2381091672141	sous-entraînement
17	#66C2A5	0.2381091672141	sous-entraînement
18	#66C2A5	0.2381091672141	sous-entraînement
19	#66C2A5	0.2381091672141	sous-entraînement
20	#66C2A5	0.2381091672141	sous-entraînement
21	#FC8D62	0.2381091672141	validation
22	#66C2A5	-0.861937740241134	sous-entraînement
23	#FC8D62	-0.861937740241134	validation
24	#66C2A5	-0.861937740241134	sous-entraînement
25	#FC8D62	-0.861937740241134	validation
26	#FC8D62	-0.861937740241134	validation
27	#FC8D62	-0.861937740241134	validation
28	#FC8D62	-0.861937740241134	validation
29	#FC8D62	-0.861937740241134	validation
30	#66C2A5	-0.861937740241134	sous-entraînement
31	#66C2A5	1.7311487572907	sous-entraînement
32	#66C2A5	1.58444012831853	sous-entraînement
33	#FC8D62	1.58444012831853	validation
34	#66C2A5	1.58444012831853	sous-entraînement
35	#66C2A5	1.58444012831853	sous-entraînement
36	#FC8D62	1.58444012831853	validation
37	#FC8D62	1.58444012831853	validation
38	#FC8D62	1.58444012831853	validation
39	#66C2A5	1.58444012831853	sous-entraînement
40	#FC8D62	1.58444012831853	validation
41	#66C2A5	0.357765937353802	sous-entraînement
42	#FC8D62	0.357765937353802	validation
43	#FC8D62	0.357765937353802	validation
44	#66C2A5	0.357765937353802	sous-entraînement
45	#FC8D62	0.357765937353802	validation
46	#FC8D62	0.357765937353802	validation
47	#66C2A5	0.357765937353802	sous-entraînement
48	#66C2A5	0.357765937353802	sous-entraînement
49	#66C2A5	0.357765937353802	sous-entraînement
50	#FC8D62	0.357765937353802	validation
