group	colour	yend	showSelected1
1	#66C2A5	0.260653639891282	sous-entraînement
2	#FC8D62	0.260653639891282	validation
3	#FC8D62	0.260653639891282	validation
4	#66C2A5	0.260653639891282	sous-entraînement
5	#FC8D62	0.260653639891282	validation
6	#FC8D62	0.260653639891282	validation
7	#66C2A5	0.260653639891282	sous-entraînement
8	#66C2A5	0.260653639891282	sous-entraînement
9	#FC8D62	0.260653639891282	validation
10	#FC8D62	0.260653639891282	validation
11	#FC8D62	0.260653639891282	validation
12	#66C2A5	0.260653639891282	sous-entraînement
13	#FC8D62	0.260653639891282	validation
14	#FC8D62	0.260653639891282	validation
15	#FC8D62	0.260653639891282	validation
16	#66C2A5	0.260653639891282	sous-entraînement
17	#FC8D62	0.260653639891282	validation
18	#FC8D62	0.260653639891282	validation
19	#66C2A5	0.260653639891282	sous-entraînement
20	#66C2A5	0.260653639891282	sous-entraînement
21	#66C2A5	0.260653639891282	sous-entraînement
22	#66C2A5	0.260653639891282	sous-entraînement
23	#FC8D62	0.260653639891282	validation
24	#66C2A5	0.260653639891282	sous-entraînement
25	#FC8D62	0.260653639891282	validation
26	#66C2A5	0.260653639891282	sous-entraînement
27	#FC8D62	0.260653639891282	validation
28	#FC8D62	0.260653639891282	validation
29	#FC8D62	0.260653639891282	validation
30	#66C2A5	0.260653639891282	sous-entraînement
31	#66C2A5	0.260653639891282	sous-entraînement
32	#66C2A5	0.260653639891282	sous-entraînement
33	#66C2A5	0.260653639891282	sous-entraînement
34	#FC8D62	0.260653639891282	validation
35	#FC8D62	0.260653639891282	validation
36	#66C2A5	0.260653639891282	sous-entraînement
37	#FC8D62	0.260653639891282	validation
38	#FC8D62	0.260653639891282	validation
39	#66C2A5	0.260653639891282	sous-entraînement
40	#66C2A5	0.260653639891282	sous-entraînement
41	#66C2A5	0.260653639891282	sous-entraînement
42	#FC8D62	0.260653639891282	validation
43	#66C2A5	0.260653639891282	sous-entraînement
44	#66C2A5	0.260653639891282	sous-entraînement
45	#66C2A5	0.260653639891282	sous-entraînement
46	#FC8D62	0.260653639891282	validation
47	#FC8D62	0.260653639891282	validation
48	#66C2A5	0.260653639891282	sous-entraînement
49	#FC8D62	0.260653639891282	validation
50	#66C2A5	0.260653639891282	sous-entraînement
